longitud,latitud,iata_code,airport_name,region,country,dep_amount,pass_amount
15.2536783,104.86906426652979,UBP,Ubon Ratchathani Airport,Ubon Ratchathani,Thailand,2,54
54.55435815,55.88220985059501,UFA,Ufa Airport,"Ufa, Bashkortostan",Russia,2,No info
-0.12721169999999998,-78.35809738941953,UIO,Mariscal Sucre International Airport,Quito,Ecuador,112869,10717791
47.9713877,-4.17040990631579,UIP,Quimper - Cornouaille Airport,Quimper,France,1,No info
47.84297625000001,106.7667561731925,ULN,Chinggis Khaan International Airport,Ulan Bator,Mongolia,4,135
54.40245315,48.80737387774012,ULY,Ulyanovsk Vostochny Airport,Ulyanovsk,Russia,16,No info
-54.84157295,-68.30858633055082,USH,Ushuaia - Malvinas Argentinas International Airport,"Ushuaia, Tierra del Fuego",Argentina,5,737
-28.402504,21.258329003972364,UTN,Upington Airport,Upington,South Africa,2,No info
13.7342774,-60.95388420129784,UVF,Hewanorra International Airport,Vieux-Fort,Saint Lucia,45499,5471810
43.23393595,27.823302249448076,VAR,Varna Airport,Varna,Bulgaria,1,7
45.50353855,12.342579681064803,VCE,Venice Marco Polo Airport,Venice,Italy,21733,4027054
19.1360387,-96.1860706333789,VER,General Heriberto Jara International Airport,"Veracruz, Veracruz",Mexico,23021,926876
42.232922450000004,-8.626166079129476,VGO,Vigo-Peinador Airport,"Vigo, Galicia",Spain,2,3
48.10499675,16.5848987032657,VIE,Vienna International Airport,Vienna,Austria,52458,9880531
8.62391785,-71.67132508302207,VIG,Juan Pablo Perez Alfonso Airport,El Vigía,Venezuela,48,201
18.4466072,-64.4279001888192,VIJ,Virgin Gorda Airport,Virgin Gorda,British Virgin Islands,15498,94259
-20.256092950000003,-40.28135718192593,VIX,Eurico de Aguiar Salles Airport,"Vitória, Espírito Santo",Brazil,1680,3
55.5995278,37.27357516712458,VKO,Vnukovo International Airport,Moscow,Russia,1569,252301
39.4878647,-0.48120918609833196,VLC,Valencia Airport,"Valencia, Valencian Community",Spain,572,74574
-17.69913085,168.3193165665017,VLI,Bauerfield International Airport,Port Vila,Vanuatu,4,82
41.706834349999994,-4.854374275220002,VLL,Valladolid Airport,Valladolid,Spain,3,3
10.151676850000001,-67.92881547478783,VLN,Arturo Michelena International Airport,"Valencia, Carabobo",Venezuela,19993,949240
54.63483615,25.290314330439507,VNO,Vilnius International Airport,Vilnius,Lithuania,4,6
48.78335465,44.347290075526445,VOG,Gumrak Airport,Volgograd,Russia,34,No info
45.39717245,10.885895928972548,VRN,Verona Airport,Verona,Italy,23,63
59.5895789,16.631214886515107,VST,Stockholm-Västerås Airport,Stockholm,Sweden,1,1
